"Reservations","Reservas"
"Reservations List","Lista de Reservas"
"Reservations Grid","Tabela de Reservas"
"Incorrect Reservations Grid","Tabela de Reservas Incorretas"
"Reservation ID","ID da reserva"
"You have deleted the reservation '%1'. A log has been saved with the information.", "Você excluiu a reserva '%1'. Um log foi salvo com as informações."
"We can't delete that reservation.","Não podemos excluir essa reserva."
"Reservation with id ""%1"" does not exist.","Reserva com o id ""%1"" não existe"
"Delete", "Deletar"
"Final Order Statuses","Status de pedidos finais"
"To validate if the reservation is wrong","Lista de status final, para validar se a reserva está errada"
"List of Inconsistent Reservations","Lista de Reservas Inconsistêntes"
